Date,Volume_t-3,Volume_t-2,Volume_t-1,Open_t-3,Open_t-2,Open_t-1,High_t-3,High_t-2,High_t-1,Low_t-3,Low_t-2,Low_t-1,target
2017-11-21,23598650.0,21884010.0,16041550.0,171.18,171.04,170.29,171.87,171.39,170.56,170.3,169.64,169.56,170.78
2020-06-25,33861320.0,53038870.0,48155850.0,351.34,364.0,365.0,359.46,372.38,368.79,351.15,362.27,358.52,360.7
2017-07-28,18798250.0,15649120.0,32429770.0,151.8,153.35,153.75,153.84,153.93,153.99,151.8,153.06,147.3,149.89
2016-08-29,23606240.0,25001730.0,27744300.0,108.57,107.39,107.41,108.75,107.88,107.95,107.68,106.68,106.31,106.62
2019-04-08,23243160.0,19090050.0,18473070.0,193.25,194.79,196.45,196.5,196.37,197.1,193.15,193.14,195.93,196.42
2015-10-22,29723750.0,48929200.0,42276880.0,110.8,111.34,114.0,111.75,114.17,115.58,110.11,110.82,113.7,114.33
2017-10-03,21983410.0,26204670.0,18631540.0,153.89,153.21,154.26,154.28,154.13,154.45,152.7,152.0,152.72,154.01
2016-03-30,25568350.0,19354440.0,31154910.0,105.47,106.0,104.89,106.25,106.19,107.79,104.89,105.06,104.88,108.65
2020-03-19,80605870.0,81013970.0,75058410.0,241.95,247.51,239.77,259.08,257.61,250.0,240.0,238.4,237.12,247.39
2020-05-26,27876220.0,25672210.0,20450750.0,316.68,318.66,315.77,319.52,320.89,319.23,316.2,315.87,315.35,323.5
2017-06-27,19082170.0,35421310.0,25674500.0,145.77,145.13,147.17,146.7,147.16,148.28,145.12,145.11,145.38,145.01
2015-12-28,32728460.0,32618140.0,13596680.0,107.4,107.27,109.0,107.72,108.85,109.0,106.45,107.2,107.95,107.59
2016-09-09,26645130.0,42250480.0,52955310.0,107.9,107.83,107.25,108.3,108.76,107.27,107.51,107.07,105.24,104.64
2015-10-29,66139770.0,67673450.0,85436210.0,118.08,115.4,116.93,118.13,116.54,119.3,114.92,113.99,116.06,118.7
2015-09-21,37080720.0,63712340.0,73991000.0,116.25,115.66,112.21,116.54,116.49,114.3,115.44,113.72,111.87,113.67
2019-08-26,21564750.0,22267820.0,46882840.0,212.99,213.19,209.43,213.65,214.44,212.05,211.6,210.75,201.0,205.86
2018-06-26,25649240.0,27185130.0,31632320.0,187.25,186.12,183.4,188.35,186.15,184.92,184.94,184.7,180.73,182.99
2016-11-03,26378910.0,43403760.0,28174980.0,113.65,113.46,111.4,114.23,113.77,112.35,113.2,110.53,111.23,110.98
2017-10-24,42357420.0,23907540.0,21888930.0,156.75,156.61,156.89,157.08,157.75,157.69,155.02,155.96,155.5,156.29
2017-10-06,16216800.0,20088940.0,21215870.0,154.01,153.63,154.18,155.09,153.86,155.44,153.91,152.46,154.05,154.97
2019-06-13,26220850.0,26932880.0,18253190.0,191.81,194.86,193.95,195.37,196.0,195.97,191.62,193.6,193.39,194.7
2020-04-14,42223820.0,40529120.0,32755730.0,262.74,268.7,268.31,267.37,270.07,273.7,261.23,264.7,265.83,280.0
2017-02-27,20769030.0,20762360.0,21754600.0,136.43,137.38,135.91,137.12,137.48,136.66,136.11,136.3,135.28,137.14
2020-06-26,53038870.0,48155850.0,34380630.0,364.0,365.0,360.7,372.38,368.79,365.0,362.27,358.52,357.57,364.41
2019-10-17,24413480.0,23040480.0,19286690.0,234.9,236.39,233.37,238.13,237.65,235.24,234.67,234.88,233.2,235.09
2016-09-01,24900130.0,24817940.0,31639010.0,106.62,105.8,105.66,107.44,106.5,106.57,106.29,105.5,105.64,106.14
2017-08-10,21827400.0,36127490.0,26060430.0,157.06,158.6,159.26,158.92,161.83,161.27,156.67,158.27,159.11,159.9
2016-02-26,31851180.0,36192150.0,27526040.0,96.4,93.98,96.05,96.5,96.38,96.76,94.55,93.32,95.25,97.2
2016-11-10,32361930.0,24129630.0,59118740.0,110.08,110.31,109.88,110.51,111.72,111.32,109.46,109.7,108.05,111.09
2017-06-30,24725210.0,22052920.0,31450520.0,145.01,144.49,144.71,146.16,146.11,145.13,143.62,143.16,142.28,144.45
2015-09-17,58279570.0,43218350.0,37080720.0,116.58,115.93,116.25,116.89,116.53,116.54,114.86,114.42,115.44,115.66
2018-11-28,23623970.0,44662320.0,41156140.0,174.94,174.24,171.51,176.6,174.95,174.77,172.1,170.26,170.88,176.73
2017-05-12,38907940.0,25779060.0,27236290.0,153.87,153.63,152.45,154.88,153.94,154.07,153.45,152.11,152.31,154.7
2017-04-10,27649500.0,21131040.0,16658660.0,144.22,144.29,143.73,145.46,144.52,144.18,143.81,143.45,143.27,143.6
2016-03-28,32345430.0,25686350.0,25568350.0,105.25,106.48,105.47,107.29,107.07,106.25,105.21,105.9,104.89,106.0
2019-02-28,21846400.0,16991610.0,27817640.0,174.16,173.71,173.21,175.87,175.3,175.0,173.95,173.17,172.73,174.32
2019-07-01,26067510.0,20899720.0,31110640.0,197.77,200.29,198.68,200.99,201.57,199.5,197.35,199.57,197.05,203.17
2017-03-20,25676720.0,19173780.0,43700570.0,139.41,140.72,141.0,140.75,141.02,141.0,139.03,140.26,139.89,140.4
2016-10-25,24100150.0,22527690.0,23492650.0,116.86,116.81,117.1,117.38,116.91,117.74,116.33,116.28,117.0,117.95
2016-11-30,11475920.0,27054320.0,28507780.0,111.13,111.43,110.78,111.87,112.47,112.03,110.95,111.39,110.07,111.6
2017-04-21,14676420.0,17302160.0,23294040.0,141.41,141.88,141.22,142.04,142.0,142.92,141.11,140.45,141.16,142.44
2015-08-06,69639900.0,123601900.0,99202400.0,121.5,117.42,112.95,122.57,117.7,117.44,117.52,113.25,112.1,115.97
2019-12-09,16810390.0,18661340.0,26547490.0,261.07,263.79,267.48,263.31,265.89,271.0,260.68,262.73,267.3,270.0
2018-04-23,20544600.0,34693280.0,65270950.0,177.81,174.95,170.6,178.82,175.39,171.22,176.88,172.66,165.43,166.84
2020-03-02,49678430.0,80151380.0,106721200.0,286.53,281.1,257.26,297.88,286.0,278.41,286.5,272.96,256.37,282.28
2016-11-22,27623150.0,28310840.0,29164190.0,109.81,109.72,110.12,110.35,110.54,111.99,108.83,109.66,110.01,111.95
2018-09-17,49118510.0,41411350.0,31801970.0,224.94,223.52,225.75,225.0,228.35,226.84,219.84,222.57,222.52,222.15
2016-10-07,29707270.0,21400410.0,28508710.0,113.06,113.4,113.7,114.31,113.66,114.34,112.63,112.69,113.13,114.31
2018-10-29,39992120.0,29027340.0,47191700.0,222.6,217.71,215.9,224.23,221.38,220.19,214.54,216.75,212.67,219.19
2017-04-27,17117710.0,18325720.0,19998050.0,143.5,143.91,144.47,143.95,144.9,144.6,143.18,143.87,143.38,143.92
2016-03-16,27368840.0,25058280.0,40026250.0,102.24,101.91,103.96,102.28,102.91,105.18,101.5,101.78,103.85,104.61
2020-07-07,27684310.0,28510370.0,29663910.0,365.12,367.85,370.0,367.36,370.47,375.78,363.91,363.64,369.87,375.41
2016-01-22,52960810.0,72274300.0,52099200.0,98.41,95.1,97.06,98.65,98.19,97.88,95.5,93.42,94.94,98.63
2020-01-27,25458120.0,26117990.0,36634380.0,318.58,317.92,320.25,319.99,319.56,323.33,317.31,315.65,317.52,310.06
2019-07-08,16935220.0,11362050.0,17265520.0,201.41,203.28,203.35,203.13,204.44,205.08,201.36,202.69,202.9,200.81
2015-11-02,85436210.0,51106100.0,49305220.0,116.93,118.7,120.99,119.3,120.69,121.22,116.06,118.27,119.45,119.87
2019-04-10,18473070.0,25829880.0,35738280.0,196.45,196.42,200.32,197.1,200.23,202.85,195.93,196.34,199.23,198.68
2016-11-23,28310840.0,29164190.0,25931710.0,109.72,110.12,111.95,110.54,111.99,112.42,109.66,110.01,111.4,111.36
2017-02-07,33671250.0,24460160.0,26784530.0,127.98,128.31,129.13,129.39,129.19,130.5,127.78,128.16,128.9,130.54
2017-01-27,23191150.0,32417410.0,26320740.0,119.55,120.42,121.67,120.1,122.1,122.44,119.5,120.28,121.6,122.14
2017-01-23,23687350.0,25554290.0,29922650.0,120.0,119.4,120.45,120.5,120.09,120.45,119.71,119.37,119.73,120.0
2015-12-31,26639930.0,30912260.0,25184090.0,107.59,106.96,108.58,107.69,109.43,108.7,106.18,106.86,107.18,107.01
2019-01-08,91106840.0,57423650.0,54571440.0,143.98,144.53,148.7,145.72,148.55,148.83,142.0,143.8,145.9,149.56
2019-05-06,64827330.0,31996320.0,20892380.0,209.88,209.84,210.89,215.31,212.65,211.84,209.23,208.13,210.23,204.29
2016-06-09,23265200.0,22378380.0,20839950.0,97.99,99.25,99.02,101.89,99.87,99.56,97.55,98.96,98.68,98.5
2019-09-30,22481010.0,19088310.0,25361290.0,218.55,220.0,220.54,221.5,220.94,220.96,217.14,218.83,217.28,220.9
2015-08-12,38610120.0,54851010.0,96820670.0,114.58,116.53,117.81,116.25,119.99,118.18,114.5,116.53,113.33,112.53
2019-05-20,26544720.0,33031360.0,32879090.0,186.27,189.91,186.93,191.75,192.47,190.9,186.02,188.84,186.76,183.52
2018-08-27,18965930.0,18505780.0,18457720.0,214.1,214.65,216.6,216.36,217.05,216.9,213.84,214.6,215.11,217.15
2016-07-11,30877540.0,24460850.0,28877500.0,94.6,95.7,96.49,95.66,96.5,96.89,94.37,95.62,96.05,96.75
2016-06-29,75219710.0,45595680.0,40387960.0,92.91,93.0,92.9,94.66,93.05,93.66,92.65,91.5,92.14,93.97
2018-11-21,36191330.0,41626820.0,67678680.0,190.5,190.0,178.37,194.97,190.7,181.47,189.46,184.99,175.51,179.73
2015-09-01,83825220.0,53075960.0,56111590.0,112.23,112.17,112.03,113.24,113.31,114.53,110.02,111.54,112.0,110.15
2019-05-31,27948160.0,28481170.0,21218410.0,178.92,176.42,177.95,180.59,179.35,179.23,177.91,176.0,176.67,176.23
2018-03-13,24518850.0,32130360.0,32191070.0,175.48,177.96,180.29,177.12,180.0,182.39,175.07,177.39,180.21,182.59
2017-07-18,25080500.0,20117070.0,23765710.0,145.5,147.97,148.82,148.49,149.33,150.9,145.44,147.33,148.57,149.2
2019-08-08,52392970.0,35824790.0,33364400.0,197.99,196.31,195.41,198.65,198.07,199.56,192.58,194.04,193.82,200.2
2019-07-17,17595210.0,16947420.0,16866820.0,202.45,204.09,204.59,204.0,205.87,206.11,202.2,204.0,203.5,204.05
2015-12-16,46810020.0,64678220.0,53168580.0,115.19,112.18,111.94,115.39,112.68,112.8,112.85,109.79,110.35,111.07
2017-01-12,33420290.0,24432660.0,27453130.0,117.95,118.77,118.74,119.43,119.38,119.93,117.94,118.3,118.6,118.9
2017-12-18,23402510.0,20442740.0,40122100.0,172.5,172.4,173.63,173.54,173.13,174.17,172.0,171.65,172.46,174.88
2017-12-04,41459120.0,41484540.0,39735110.0,172.63,170.43,169.95,172.92,172.14,171.67,167.16,168.44,168.5,172.48
2018-01-08,29461040.0,22342650.0,23589930.0,172.53,172.54,173.44,174.55,173.47,175.37,171.96,172.08,173.05,174.35
2018-02-26,37378070.0,30953760.0,33772050.0,172.83,171.8,173.67,174.12,173.95,175.65,171.01,171.71,173.54,176.35
2017-11-01,44387770.0,44651420.0,35779520.0,159.29,163.89,167.9,163.6,168.07,169.65,158.7,163.72,166.94,169.87
2016-03-17,25058280.0,40026250.0,38236730.0,101.91,103.96,104.61,102.91,105.18,106.31,101.78,103.85,104.59,105.52
2018-03-21,38313330.0,32931110.0,19620520.0,178.65,177.32,175.24,179.12,177.47,176.8,177.62,173.66,174.94,175.04
2016-06-22,60793260.0,34355970.0,35407050.0,96.62,96.0,94.94,96.65,96.57,96.35,95.3,95.03,94.68,96.25
2018-10-16,52902320.0,39494770.0,30280450.0,214.52,220.42,221.16,219.5,222.88,221.83,212.32,216.84,217.27,218.93
2019-03-28,43751810.0,49696100.0,29771210.0,191.51,191.66,188.75,191.98,192.88,189.76,186.6,184.58,186.55,188.95
2020-06-04,20254650.0,21910700.0,26122800.0,317.75,320.75,324.66,322.35,323.44,326.2,317.21,318.93,322.3,324.39
2016-10-19,35626020.0,23583810.0,24308210.0,117.88,117.33,118.18,118.17,117.84,118.21,117.13,116.78,117.45,117.25
2020-06-08,26122800.0,21890090.0,34312550.0,324.66,324.39,323.35,326.2,325.62,331.75,322.3,320.78,323.23,330.25
2016-02-24,35290570.0,34240470.0,31851180.0,96.0,96.31,96.4,96.76,96.9,96.5,95.8,95.92,94.55,93.98
2018-01-03,16412270.0,25938760.0,25400540.0,171.0,170.52,170.16,171.85,170.59,172.3,170.48,169.22,169.26,172.53
2016-01-29,71937310.0,133059000.0,55622370.0,99.93,96.04,93.79,100.88,96.63,94.52,98.07,93.34,92.39,94.79
2016-01-11,68384270.0,80742460.0,70722000.0,100.56,98.68,98.55,102.37,100.13,99.11,99.87,96.43,96.76,98.97
2017-05-04,33498270.0,44182930.0,45579740.0,145.1,147.54,145.59,147.2,148.09,147.49,144.96,146.84,144.27,146.52
2015-10-15,30386830.0,32970790.0,44434220.0,112.73,110.82,111.29,112.75,112.45,111.52,111.44,110.68,109.56,110.93
2019-12-02,26334880.0,16386120.0,11654360.0,266.94,265.58,266.6,267.16,267.98,268.0,262.5,265.31,265.9,267.27
2018-01-05,25400540.0,29461040.0,22342650.0,170.16,172.53,172.54,172.3,174.55,173.47,169.26,171.96,172.08,173.44
2017-12-05,41484540.0,39735110.0,32512580.0,170.43,169.95,172.48,172.14,171.67,172.62,168.44,168.5,169.63,169.06
2019-07-26,18355210.0,14991570.0,13909560.0,208.46,207.67,208.89,208.91,209.15,209.24,207.29,207.17,206.73,207.48
2019-03-20,39017490.0,26148590.0,31440300.0,184.85,185.8,188.35,187.33,188.39,188.99,183.74,185.79,185.92,186.23
2016-03-29,25686350.0,25568350.0,19354440.0,106.48,105.47,106.0,107.07,106.25,106.19,105.9,104.89,105.06,104.89
2019-08-23,26919530.0,21564750.0,22267820.0,210.88,212.99,213.19,213.35,213.65,214.44,210.32,211.6,210.75,209.43
2017-03-07,26170690.0,21555370.0,21229890.0,140.0,138.78,139.37,140.28,139.83,139.77,138.76,138.59,138.6,139.06
2015-12-03,38063130.0,34806250.0,33316990.0,117.99,118.75,117.05,119.41,118.81,118.11,117.75,116.86,116.08,116.55
2018-09-21,31495630.0,26869880.0,26388050.0,217.79,218.5,220.24,221.85,219.62,222.28,217.12,215.3,219.15,220.78
2019-04-05,22727370.0,23243160.0,19090050.0,191.09,193.25,194.79,194.46,196.5,196.37,191.05,193.15,193.14,196.45
2016-11-07,28174980.0,26538700.0,30790930.0,111.4,110.98,108.53,112.35,111.46,110.25,111.23,109.55,108.11,110.08
2015-12-23,96197190.0,47507230.0,32728460.0,108.91,107.28,107.4,109.52,107.37,107.72,105.81,105.57,106.45,107.27
2018-03-27,41335980.0,40984540.0,36778560.0,170.0,168.39,168.07,172.68,169.92,173.1,168.6,164.94,166.44,173.68
2016-05-26,37977020.0,35074380.0,38258300.0,95.87,97.22,98.67,97.19,98.09,99.74,95.67,96.84,98.11,99.68
